kelas_id,dosen_id,kuesioner,skor_kues,nilai_akhir
2021135508,594,"{""25"": 3.4000000000000000, ""26"": 3.6200000000000000, ""27"": 3.7000000000000000}","{""1"": 3.3266666666666667, ""2"": 3.5920000000000000, ""3"": 3.5400000000000000}",3.6004507936507936
2021135508,4637,"{""25"": 3.7000000000000000, ""26"": 3.6800000000000000, ""27"": 3.7600000000000000}","{""1"": 3.3266666666666667, ""2"": 3.6760000000000000, ""3"": 3.5400000000000000}",3.6060507936507936
2021107292,151,"{""25"": 2.9298245614035088, ""26"": 3.2456140350877193, ""27"": 3.7017543859649123}","{""1"": 2.8888888888888889, ""2"": 3.3333333333333333, ""3"": 3.2982456140350877}",3.5053903557504873
2021107292,928,"{""25"": 3.5892857142857143, ""26"": 3.6785714285714286, ""27"": 3.7857142857142857}","{""1"": 2.8888888888888889, ""2"": 3.5686090225563910, ""3"": 3.2982456140350877}",3.5210754016986912
2021131778,437,"{""25"": 3.8928571428571429, ""26"": 3.8928571428571429, ""27"": 3.8928571428571429}","{""1"": 3.5119047619047619, ""2"": 3.8285714285714286, ""3"": 3.6071428571428572}",3.549791746031746
2021117170,285,"{""25"": 3.4193548387096774, ""26"": 3.5161290322580645, ""27"": 3.4838709677419355}","{""1"": 3.2795698924731183, ""2"": 3.4838709677419355, ""3"": 3.4516129032258065}",3.4010531080389145
2021119893,437,"{""25"": 3.9200000000000000, ""26"": 3.8400000000000000, ""27"": 3.8600000000000000}","{""1"": 3.4266666666666667, ""2"": 3.8400000000000000, ""3"": 3.6400000000000000}",3.5326035701275046
2021126290,207,"{""25"": 3.7924528301886792, ""26"": 3.7169811320754717, ""27"": 3.8301886792452830}","{""1"": 3.4968553459119497, ""2"": 3.7509433962264151, ""3"": 3.7641509433962264}",3.4906450667549377
2021181234,482,"{""25"": 3.9230769230769231, ""26"": 3.9230769230769231, ""27"": 4.0000000000000000}","{""1"": 3.7692307692307693, ""2"": 3.9076923076923077, ""3"": 3.8076923076923077}",3.8972097212931996
2021110187,1133,"{""25"": 3.7058823529411765, ""26"": 3.6911764705882353, ""27"": 3.8676470588235294}","{""1"": 3.3039215686274510, ""2"": 3.6235294117647059, ""3"": 3.6323529411764706}",3.7184612943017583
2021142208,752,"{""25"": 3.3194444444444444, ""26"": 3.2083333333333333, ""27"": 3.5694444444444444}","{""1"": 3.2916666666666667, ""2"": 3.4277777777777778, ""3"": 3.3541666666666667}",3.5615938143338143
2021171091,335,"{""25"": 3.4242424242424242, ""26"": 3.6363636363636364, ""27"": 3.6363636363636364}","{""1"": 3.5454545454545455, ""2"": 3.5939393939393940, ""3"": 3.6060606060606061}",3.7750183302411874
2021171091,1255,"{""25"": 3.8181818181818182, ""26"": 3.8181818181818182, ""27"": 3.7878787878787879}","{""1"": 3.5454545454545455, ""2"": 3.7393939393939394, ""3"": 3.6060606060606061}",3.7847152999381571
2021180032,527,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 4.0000000000000000, ""2"": 4.0000000000000000, ""3"": 3.8333333333333334}",3.8941688888888889
2021180032,1777,"{""25"": 4.0000000000000000, ""26"": 3.6666666666666667, ""27"": 4.0000000000000000}","{""1"": 4.0000000000000000, ""2"": 3.9333333333333333, ""3"": 3.8333333333333334}",3.8897244444444444
2021157829,1259,"{""25"": 3.8571428571428571, ""26"": 3.7142857142857143, ""27"": 3.7857142857142857}","{""1"": 3.5476190476190476, ""2"": 3.6857142857142857, ""3"": 3.7142857142857143}",3.8685079365079365
2021123492,1070,"{""25"": 3.7049180327868852, ""26"": 3.9344262295081967, ""27"": 3.9508196721311475}","{""1"": 3.4043715846994535, ""2"": 3.7770491803278688, ""3"": 3.5983606557377049}",3.7683442159297897
2021191401,891,"{""25"": 3.2028985507246377, ""26"": 3.1739130434782609, ""27"": 3.6666666666666667}","{""1"": 3.3719806763285024, ""2"": 3.4463768115942029, ""3"": 3.5652173913043478}",3.6667367868202651
2021191401,930,"{""25"": 3.9130434782608696, ""26"": 3.8695652173913043, ""27"": 3.9130434782608696}","{""1"": 3.3719806763285024, ""2"": 3.7768115942028986, ""3"": 3.5652173913043478}",3.6887657723275115
2021182017,287,"{""25"": 3.7916666666666667, ""26"": 3.8541666666666667, ""27"": 3.8333333333333333}","{""1"": 3.4930555555555555, ""2"": 3.7958333333333333, ""3"": 3.5416666666666667}",3.6243061279461279
2021182017,1259,"{""25"": 3.4375000000000000, ""26"": 3.5833333333333333, ""27"": 3.7083333333333333}","{""1"": 3.4930555555555555, ""2"": 3.6458333333333333, ""3"": 3.5416666666666667}",3.6143061279461279
2021162789,426,"{""25"": 3.7931034482758621, ""26"": 3.7758620689655172, ""27"": 3.8620689655172414}","{""1"": 3.5000000000000000, ""2"": 3.7655172413793104, ""3"": 3.6982758620689656}",3.7617895402298851
2021151070,287,"{""25"": 3.8333333333333333, ""26"": 3.8333333333333333, ""27"": 3.8333333333333333}","{""1"": 3.5555555555555556, ""2"": 3.7666666666666667, ""3"": 3.5000000000000000}",3.2370614814814815
